縣市別,鄉鎮市區別,診所名稱,診所地址,診所電話
桃園市,平鎮區,桃園市平鎮區衛生所,桃園市平鎮區新富里振興路1號,03-4576624
桃園市,楊梅區,桃園市楊梅區衛生所,桃園市楊梅區校前路409號,03-4750151
桃園市,龍潭區,桃園市龍潭區衛生所,桃園市龍潭區中正路210號,03-4792033
桃園市,觀音區,桃園市觀音區衛生所,桃園市觀音區觀新路58號,03-4732031
基隆市,七堵區,泰安內科診所,基隆市七堵區明德一路93號,02-24552305
臺北市,松山區,泰安親親家庭診所,臺北市松山區光復北路97號,02-27605036
新北市,泰山區,泰和診所,新北市泰山區明志路2段62號,02-85315320
高雄市,苓雅區,泰順聯合診所,高雄市苓雅區光華一路148-95號,07-2241595
臺南市,北區,海安小兒科診所,臺南市北區海安路3段761號,06-3589696
彰化縣,員林市,涂嘉桂診所,彰化縣員林市中正路113號,04-8360898
新北市,中和區,淯陞診所,新北市中和區安樂路19號1至2樓,02-29400355
臺中市,大甲區,琉璃光診所,台中市大甲區順天路342號,04-26873051
新北市,三重區,益安診所,新北市三重區正義北路152號,02-89828775
新北市,中和區,益德診所,新北市中和區忠孝街75號1樓,02-86688421
臺中市,沙鹿區,真善美診所,臺中市沙鹿區成功東街119號,04-26656037
高雄市,鳳山區,祐幼小兒科診所,高雄市鳳山區八德路296巷28號,07-7769977
新北市,土城區,祐生耳鼻喉科診所,新北市土城區中央路二段223之9號1樓,02-82614588
新竹市,北區,祐庭耳鼻喉科診所,新竹市北區光華街99-1號1樓,03-5351166
桃園市,中壢區,馬興華耳鼻喉科診所,桃園市中壢區中北路二段80號,03-4591680
高雄市,鳳山區,高丹榕診所,高雄市鳳山區光復路二段223號,07-7475556
臺北市,中山區,高固亷診所,臺北市中山區北安路613號,02-25323036
新北市,三重區,高柏森耳鼻喉科診所,新北市三重區正義北路191號,02-29839808
雲林縣,虎尾鎮,偉哲內小兒科診所,雲林縣虎尾鎮中山里仁愛路67號,05-6323409
桃園市,桃園區,偉勝耳鼻喉科診所,桃園市桃園區中正路558號,03-3473858
新北市,蘆洲區,健安診所,新北市蘆洲區長安街265號1樓,02-22826588
新北市,蘆洲區,健侒診所,新北市蘆洲區長安街265號1樓,02-22826588
新北市,中和區,健和診所,新北市中和區景新街401號1、2樓,02-86681070
臺北市,中正區,健康101診所,臺北市中正區牯嶺街97號,02-23648085
新北市,永和區,健新耳鼻喉科診,新北市永和區永貞路297號1樓,02-89210657
新北市,蘆洲區,健群耳鼻喉科診所,新北市蘆洲區中華街71號1樓,02-28487669
新北市,蘆洲區,健群診所,新北市蘆洲區中華街71號1樓,02-28487669
新北市,三重區,健福診所,新北市三重區溪尾街171號,02-89851660
高雄市,苓雅區,健維診所,高雄市苓雅區福建街25號,07-3344637
新北市,中和區,唯安診所,新北市中和區景新街455號,02 2947 9165
新竹縣,竹北市,啄木鳥耳鼻喉科診所,新竹縣竹北市莊敬三路39號1號,03-6586586
花蓮縣,玉里鎮,啟光診所,花蓮縣玉里鎮中華路74號,03-8880468
新北市,永和區,國平耳鼻喉科診所,新北市永和區永貞路376號,02-89233980
新北市,鶯歌區,崇文診所,新北市鶯歌區國慶街141號,02-26783366
新竹縣,竹東鎮,崇光小兒專科診所,新竹縣竹東鎮長春路三段188號1樓,03 -5959878
新北市,新店區,康禾診所,新北市新店區中正路140號1樓,02-29109696
高雄市,楠梓區,康東原診所,高雄市楠梓區右昌街376號,07-3610115
花蓮縣,吉安鄉,康寧診所,花蓮縣吉安鄉慶豐村中山路3段386號,03-8530910
臺中市,龍井區,康德耳鼻喉科診所,臺中市龍井區新興路43號,04-26317903
臺北市,內湖區,康樂診所,臺北市內湖區康樂街80號.82號.84號,02-26308800
金門縣,金湖鎮,康橋診所,金門縣金湖鎮赤東路150號,082-330096
臺中市,北區,張右川診所,臺中市北區興進路211-2號,04-22329988
臺北市,信義區,張育驍診所,臺北市信義區吳興街467巷2弄4號.6號.6號2樓.10號,02-27291011
臺南市,北區,張金石小兒科診所,臺南市北區公園路191號,06-2206228
屏東縣,屏東市,張俊智診所,屏東縣屏東市博愛路215號,08-7667010
臺中市,南屯區,張家強診所,臺中市南屯區黎明路二段490號,04-22591683
屏東縣,萬丹鄉,張家瑜診所,屏東縣萬丹鄉社皮路3段228號,08-7070342
高雄市,大寮區,張桐榮診所,高雄市大寮區鳳林三路573號,07-7825382
花蓮縣,花蓮市,張海山診所,花蓮縣花蓮市中正路191號,03-8353777
臺南市,南區,張祐禎家庭醫學科診所,臺南市南區中華南路二段72號,06-2920909
花蓮縣,花蓮市,張淑華小兒科診所,花蓮縣花蓮市國聯四路75號,03-8311031
臺中市,北屯區,張廣智耳鼻喉科診所,臺中市北屯區中清路二段531號,04-22924703
臺北市,中山區,惟亷診所,臺北市中山區北安路595巷1號B1,02-25323038
新北市,三重區,惟新診所,新北市三重區五華街145號1樓,02-28572559
新北市,中和區,捷安診所,新北市中和區中和路456號,02-22331117
新竹市,東區,晨心兒科診所,新竹市東區中央路163號,03-5322066
宜蘭縣,宜蘭市,曹天德診所,宜蘭縣宜蘭市舊城東路3-1號,03-9353267
桃園市,桃園區,曹景雄小兒科診所,桃園市桃園區延平路113號,03-2183141
屏東縣,屏東市,梁宏志診所,屏東縣屏東市自由路379-4號,08-7364494
臺中市,清水區,清水區向陽耳鼻喉科診所,臺中市清水區中山路243-2號,04-26228595
臺中市,清水區,清水祥和診所,臺中市清水區五權東路81號,04-26232191
高雄市,前鎮區,祥全診所,高雄市前鎮區復興三路393號2樓,07-3340393
苗栗縣,頭份市,祥安診所,苗栗縣頭份市中華路928號,037-664486
苗栗縣,公館鄉,祥恩診所,苗栗縣公館鄉大同路80號,037-220118
臺中市,北區,祥祐診所,臺中市北區三民路三段348號,04-22315688
彰化縣,彰化市,莊永勳耳鼻喉科診所,彰化縣彰化市曉陽路200號,04-7201551
臺北市,中山區,莊宇龍診所,臺北市中山區北安路637號,02-25331255
新北市,土城區,莊京憲耳鼻喉科診所,新北市土城區明德路一段2號,02-82603171
新北市,板橋區,莒光診所,新北市板橋區莒光路30號,02-22527700
彰化縣,彰化市,許小兒科診所,彰化縣彰化市信義里中正路一段452號1樓,04-7222279
嘉義市,東區,許小兒科診所,嘉義市東區垂楊路139號,05-2280858
彰化縣,溪湖鎮,許立德小兒科診所,彰化縣溪湖鎮培英路42號,04-8856518
新北市,蘆洲區,許修平診所,新北市蘆洲區長安街290號,02-2288102
新北市,淡水區,許景新耳鼻喉科診所,新北市淡水區中山路17號,02-26212779
臺中市,豐原區,許慶芳耳鼻喉科診所,臺中市豐原區中山路506號,04-25292857
高雄市,三民區,許聰騰診所,高雄市三民區大昌二路100號,07-3981023
花蓮縣,花蓮市,郭乃瑜耳鼻喉科診所,花蓮縣花蓮市中山路654-1號,03-8563601
高雄市,楠梓區,郭士彰耳鼻喉科診所,高雄市楠梓區後昌路862-1號,07-3683235
高雄市,大寮區,郭其靈診所,高雄市大寮區鳳林三路541號,07-7823335
桃園市,八德區,郭淵進診所,桃園市八德區興豐路650號,03-3732373
臺東縣,東河鄉,都蘭診所,臺東縣東河鄉都蘭村21鄰都蘭96號,08-9530021
臺北市,松山區,陳大昕耳鼻喉科診所,臺北市松山區八德路4段100號,02-27676349
臺北市,信義區,陳世卿診所,臺北市信義區莊敬路435號1樓,02-87803565
南投縣,南投市,陳加偉耳鼻喉科診所,南投縣南投市復興路109號,049-2200679
臺中市,西區,陳正和耳鼻喉科診所,臺中市西區向上路一段226號,04-23012729
新竹市,北區,陳君毅小兒科診所,新竹市北區西大路738號,03-5345705
南投縣,埔里鎮,陳宏麟診所,南投縣埔里鎮南昌街221號,049-2900303
新北市,新店區,陳沛生耳鼻喉科診所,新北市新店區北新路二段39號,02-29178067
嘉義市,西區,陳明煌診所,嘉義市西區北興街442號,05-2337036
臺中市,霧峰區,陳炎山家庭醫學科診所,臺中市霧峰區中正路1110號,04-23391100
臺中市,西屯區,陳亮宇耳鼻喉科診所,臺中市西屯區大墩路995號,04-23203888
桃園市,蘆竹區,陳俊仁親子診所,桃園市蘆竹區中正路128號,03-3215866
臺南市,中西區,陳俊達小兒科診所,臺南市中西區中山路21號,06-2221867
臺南市,麻豆區,陳信宏小兒科診所,臺南市麻豆區民生路36-8號,06-5719889
臺南市,東區,陳勃旭耳鼻喉科診所,臺南市東區崇善路438號,06-3358868
臺北市,信義區,陳威璋耳鼻喉科診所,臺北市信義區松德路58號,02-27584958
臺中市,大里區,陳建利診所,臺中市大里區成功路387號,04-24935145
新北市,中和區,陳建良耳鼻喉科診所,新北市中和區景新街465號1、2樓,02-89413009
花蓮縣,花蓮市,陳建發耳鼻喉科診所,花蓮縣花蓮市中美路77之2號,03-8246119
新竹市,北區,陳建銘婦產科診所,新竹市北區武陵路218巷58號,03-5337789
臺南市,安南區,陳昱成耳鼻喉科診所,臺南市安南區海佃路一段196號,06-2800178
高雄市,鳳山區,陳柏蒼耳鼻喉科診所,高雄市鳳山區文衡路480號,07-7775388
高雄市,鳳山區,陳重志聯合診所,高雄市鳳山區光復路一段139號,07-7427329
臺中市,清水區,陳振昆診所,臺中市清水區中山路127號,04-26225205
臺南市,東區,陳淑玲林原弘小兒科診所,臺南市東區崇學路229號,06-2900255
高雄市,苓雅區,陳清裕小兒科診所,高雄市苓雅區三多一路327號,07-7517221
臺中市,大里區,陳祥雪小兒科診所,臺中市大里區新生西路42號,04-24850052
臺北市,內湖區,陳森豊診所,臺北市內湖區環山路一段2號,02-27990361
屏東縣,萬丹鄉,陳琪銘診所,屏東縣萬丹鄉萬壽路二段275號,08-7770488
臺中市,南區,陳鉉煒小兒科診所,臺中市南區臺中路156號,04-22861566
臺南市,新營區,陳耀軫診所,臺南市新營區中正路57號,06-6356988
高雄市,楠梓區,陳顯明診所,高雄市楠梓區德賢路265號,07-3648127
新北市,土城區,頂埔中心診所,新北市土城區中央路四段286號,02-22671382
新北市,永和區,頂溪耳鼻喉科診所,新北市永和區永和路二段139-1號1樓,02-29290066
新竹縣,竹北市,傅仁良小兒科診所,新竹縣竹北市博愛街172號,03-5530106
新北市,中和區,凱程診所,新北市中和區員山路150-8號1樓,02-22231868
臺中市,潭子區,博文耳鼻喉科診所,臺中市潭子區中山路1段99號1樓,04-25320707
基隆市,中正區,博群診所,基隆市中正區新豐街446號,02-24601356
臺南市,永康區,富ㄦ康小兒科診所,臺南市永康區中山路55號,06-2318600
高雄市,左營區,富誠診所,高雄市左營區富國路355號1樓,07-5560925
新竹市,東區,彭耳鼻喉科診所,新竹市東區中央路195號,03-5428888
南投縣,埔里鎮,普仁診所,南投縣埔里鎮東峰路19號,049-2930373
屏東縣,里港鄉,普生診所,屏東縣里港鄉大平村中山路35號,08-7751188
彰化縣,社頭鄉,景新診所,彰化縣社頭鄉社頭村清水岩路333號,04-8721227
南投縣,竹山鎮,智瑤小兒科診所,南投縣竹山鎮集山路三段879號,049-2652288
新北市,三芝區,曾明診所,新北市三芝區中正路一段6號1樓,02-26369942
新北市,中和區,曾咸統小兒科診所,新北市中和區景安路229號1樓,02-31516343
臺東縣,成功鎮,曾建元診所,臺東縣成功鎮中華路112號,089-851002
臺中市,西區,曾憲彰耳鼻喉科診所,臺中市西區五權西路一段275號,04-23786066
新北市,汐止區,朝芳診所,新北市汐止區中正路8號,02-26427297
新竹縣,竹北市,游恆懿診所,新竹縣竹北市縣政八街23號,03-5586721
新北市,蘆洲區,湯瑪士親子兒科診所,新北市蘆洲區民族路377號1-2樓,02-22885523
高雄市,苓雅區,童春診所,高雄市苓雅區武慶三路98號,07-7210983
臺中市,東區,華幼診所,臺中市東區進化路211號,04-23600099
新北市,蘆洲區,華安診所,新北市蘆洲區長安街205號,02-28481500
新北市,三重區,華貞診所,新北市三重區三和路三段80號,02-29716626
高雄市,左營區,華夏診所,高雄市左營區華夏路708號1樓,07-3453961
新北市,瑞芳區,詠安診所,新北市瑞芳區明燈路三段79號1樓,02-24960683
彰化縣,彰化市,陽光小兒科診所,彰化縣彰化市彰南路二段219號,04-7320210
新北市,林口區,陽光耳鼻喉科診所,新北市林口區仁愛路二段113.115.117號1樓,02-26016068
高雄市,仁武區,陽光診所,高雄市仁武區中華路255號,07-3755500
新北市,三重區,集美診所,新北市三重區集美街174-1號,02-29775177
新北市,中和區,馮泰龍小兒科診所,新北市中和區南華路21號,02-82421606
高雄市,岡山區,黃子育診所,高雄市岡山區前峰路39號,07-6270101
南投縣,南投市,黃子卿小兒科診所,南投縣南投市民族路123號1、2樓,049-2200623
桃園市,中壢區,黃文昌診所,桃園市中壢區龍岡路二段123號,03-2841928
臺北市,北投區,黃正宏診所,臺北市北投區西安街一段359號,02-28217076
桃園市,中壢區,黃永輝診所,桃園市中壢區中山路452號,03-4926750
高雄市,岡山區,黃仲達診所,高雄市岡山區柳橋東路9-2號,07-6297895
高雄市,岡山區,黃耳鼻喉科診所,高雄市岡山區岡山路347-1號,07-6230011
屏東縣,潮州鎮,黃志忠診所,屏東縣潮州鎮中山路33號,08-7884486
彰化縣,大村鄉,黃建成診所,彰化縣大村鄉茄苳路一段235號,04-8524074
嘉義市,西區,黃思超小兒科診所,嘉義市西區民族路632號,05-2163232
高雄市,左營區,黃昭文診所,高雄市左營區自由二路255號,07-5592289
新北市,淡水區,黃秋陽診所,新北市淡水區中山路7號,02-26229596
高雄市,林園區,黃英豪診所,高雄市林園區林園北路188號,07-6412134
桃園市,龍潭區,黃啟昌小兒科診所,桃園市龍潭區中正路286號,03-4798466
臺北市,信義區,黃啟彰診所,臺北市信義區松山路261-1號,02-27696218
花蓮縣,花蓮市,黃國樑小兒科診所,花蓮縣花蓮市中福路186號,03-8343959
桃園市,中壢區,黃曉生小兒科診所,桃園市中壢區環中東路41、43號,03-4552725
高雄市,前鎮區,傳家家庭醫學科診所,高雄市前鎮區一德路59號,07-3344117
新北市,淡水區,匯眾內科診所,新北市淡水區中山北路一段101號,02-26229773
桃園市,龜山區,微笑親子耳鼻喉科診所,桃園市龜山區文化二路51號1樓,03-3180022
臺北市,中山區,愛鄰診所,臺北市中山區北安路520-1號,02-25322333
彰化縣,員林市,慈安小兒科診所,彰化縣員林市光明街163號,04-8369578
新北市,八里區,新北市八里區衛生所,新北市八里區舊城路16號,02-26102137
新北市,三芝區,新北市三芝區衛生所,新北市三芝區中山路1段12號,02-26362007
新北市,三重區,新北市三重區衛生所,新北市三重區新北大道一段1號,02-29825233
新北市,三峽區,新北市三峽區衛生所,新北市三峽區光明路71號3樓,02-26711592
新北市,土城區,新北市土城區衛生所,新北市土城區和平路26號,02-22603181
新北市,中和區,新北市中和區衛生所,新北市中和區南山路4巷3號,02-22491936
新北市,五股區,新北市五股區衛生所,新北市五股區新城三路11號,02-22917717
新北市,平溪區,新北市平溪區衛生所,新北市平溪區石底里公園街17號,02-24951015
新北市,永和區,新北市永和區衛生所,新北市永和區秀朗路1段137號,02-32332780
新北市,石門區,新北市石門區衛生所,新北市石門區石門里中山路28之1號,02-26381007
新北市,石碇區,新北市石碇區衛生所,新北市石碇區碇坪路一段82號,02-26631325
新北市,汐止區,新北市汐止區衛生所,新北市汐止區新台五路一段266號,02-26412030
新北市,坪林區,新北市坪林區衛生所,新北市坪林區坪林里坪林街104號,02-26656272
新北市,板橋區,新北市板橋區衛生所,新北市板橋區英士路192號,02-22586606
新北市,林口區,新北市林口區衛生所,新北市林口區林口路70號,02-26068760
新北市,金山區,新北市金山區衛生所,新北市金山區中山路257號4樓,02-24982778
新北市,泰山區,新北市泰山區衛生所,新北市泰山區全興路212號3樓,02-29099921
新北市,烏來區,新北市烏來區衛生所,新北市烏來區新烏路五段109號,02-26617200
新北市,貢寮區,新北市貢寮區衛生所,新北市貢寮區仁愛路128號,02-24901431
新北市,淡水區,新北市淡水區衛生所,新北市淡水區中山路158號,02-26215620
新北市,深坑區,新北市深坑區衛生所,新北市深坑區深坑街165號1-3樓,02-26621567
新北市,新店區,新北市新店區衛生所,新北市新店區北新路一段 86 號 12樓,02-29113984
新北市,新莊區,新北市新莊區衛生所,新北市新莊區中華路一段2號,02-29967123
新北市,瑞芳區,新北市瑞芳區衛生所,新北市瑞芳區明燈路3段1號,02-24972132
新北市,萬里區,新北市萬里區衛生所,新北市萬里區瑪鍊路157號,02-24921117
新北市,樹林區,新北市樹林區衛生所,新北市樹林區樹新路40-7號,02-26812134
新北市,雙溪區,新北市雙溪區衛生所,新北市雙溪區新基南街18號,02-24931210
新北市,蘆洲區,新北市蘆洲區衛生所,新北市蘆洲區中央路58號,02-22812011
新北市,鶯歌區,新北市鶯歌區衛生所,新北市鶯歌區文化路389號,02-26702304
新北市,三峽區,新禾診所,新北市三峽區學成路235號1樓,02-86716686
新竹市,東區,新竹科學工業園區員工診所,新竹市東區科園里工業東二路2號,03-6669996
新竹縣,尖石鄉,新竹縣尖石鄉衛生所,新竹縣尖石鄉嘉樂村2鄰61號,03-5841011
新竹縣,橫山鄉,新竹縣橫山鄉衛生所,新竹縣橫山鄉新興街141巷10號,03-5932004
新竹縣,寶山鄉,新竹縣寶山鄉衛生所,新竹縣寶山鄉雙園路二段273號,03-5203054
新北市,新莊區,新和耳鼻喉科診所,新北市新莊區幸福路69號,02-29938636
新北市,新莊區,新莊徐耳鼻喉科診所,新北市新莊區中平路373號,02-29907505
高雄市,鳳山區,新華田內科診所,高雄市鳳山區曹公路16之4號,07-7999128
新北市,汐止區,楊內科小兒科診所,新北市汐止區汐萬路1段25號,02-26420233
桃園市,桃園區,楊文彬耳鼻喉科診所,桃園市桃園區春日路850號,03-3150628
基隆市,仁愛區,楊耳鼻喉科診所,基隆市仁愛區仁二路115號,02-24245212
高雄市,左營區,楊宜璋耳鼻喉科診所,高雄市左營區明誠二路362號,07-5591007
高雄市,前鎮區,楊榮超診所,高雄市前鎮區一心二路133號,07-3382616
新北市,泰山區,楓江診所,新北市泰山區楓江路8號,02-22969708
新北市,泰山區,溫法烈耳鼻喉科診所,新北市泰山區泰林路2段175號,02-29098253
新北市,新店區,瑞安耳鼻喉科診所,新北市新店區中正路140號1樓,02-29109696
新北市,平溪區,瑞安診所,新北市平溪區平溪街9號,02-24951083
屏東縣,潮州鎮,瑞安診所,屏東縣潮州鎮興隆路137號,08-7888716
新北市,三重區,瑞和耳鼻喉科診所,新北市三重區龍門路22號1樓,02-29757788
高雄市,鼓山區,瑞芳耳鼻喉科診所,高雄市鼓山區華榮路298號1樓,07-5527887
基隆市,暖暖區,碇內診所,基隆市暖暖區源遠路323號,02-24595878
臺北市,士林區,粱耳鼻喉科診所,臺北市士林區社正路12-1號,02-28168456
彰化縣,彰化市,聖比安耳鼻喉科診所,彰化縣彰化市華山路99、101號,04-7203595
高雄市,前鎮區,聖青診所,高雄市前鎮區草衙一路112號,07-8310970
高雄市,鳳山區,聖壹診所,高雄市鳳山區瑞興路482號1樓,07-7014755
基隆市,中山區,聖德診所,基隆市中山區西定路411號,02-24293939
桃園市,八德區,萬耳鼻喉科診所,桃園市八德區介壽路1段913號,03-3635616
臺北市,大安區,萬通耳鼻喉科診所,臺北市大安區延吉街64-2號1樓,02-27518909
嘉義市,東區,葉弘貴小兒科診所,嘉義市東區中山路253號,05-2253863
臺北市,信義區,董耳鼻喉科診所,臺北市信義區永吉路284號,02-27643502
臺北市,內湖區,葫洲診所,臺北市內湖區康寧路三段35號,02-26306606
新北市,土城區,裕安診所,新北市土城區裕民路131號1樓,02-22613300
桃園市,中壢區,詮順耳鼻喉科診所,桃園市中壢區榮民路37號,03-4355300
新北市,三峽區,詹小兒科診所,新北市三峽區中華路13之6號,02-26742308
苗栗縣,苗栗市,詹求孚診所,苗栗縣苗栗市中正路468號,037-320722
臺北市,松山區,詹前俊小兒科診所,臺北市松山區民生東路五段105號,02-27653039
南投縣,南投市,詹建盛診所,南投縣南投市南陽路475號,04-92243055
新北市,三重區,詹益智耳鼻喉科診所,新北市三重區重陽路四段6號,02-29859589
臺中市,南屯區,誠心親子耳鼻喉科診所,臺中市南屯區東興路二段33號2樓,04-24719001
新北市,八里區,誠泰診所,新北市八里區中山路一段231號,02-26108205
新北市,永和區,誠新耳鼻喉科診所,新北市永和區永和路二段173號,02-22318000
桃園市,大溪區,誠德耳鼻喉科診所,桃園市大溪區康莊路192號,03-3883132
花蓮縣,新城鄉,路加家庭醫師診所,花蓮縣新城鄉北埔村自信街13號,03-8265082
臺東縣,臺東市,路瑪診所,臺東縣知本里吉泰路18號,089-510015
新北市,新莊區,鉅儒診所,新北市新莊區西盛街180號1樓,02 2205 7193
高雄市,三民區,鼎真診所,高雄市三民區金鼎路325號,07-3103130
新北市,中和區,嘉仁診所,新北市中和區華順街132號1樓,02-29521878
花蓮縣,花蓮市,嘉光耳鼻喉科診所,花蓮縣花蓮市明禮路71-5號,03-8341440
嘉義市,西區,嘉安婦幼診所,嘉義市西區友愛路390號,05-2335515
嘉義市,西區,嘉祐耳鼻喉科診所,嘉義市西區興業西路156號,05-2350860
嘉義縣,太保市,嘉義縣立慢性病防治所,嘉義縣太保市祥和二路東段3號,05-3620571#134
嘉義縣,竹崎鄉,嘉義縣竹崎鄉衛生所,嘉義縣竹崎鄉文化路19-1號,05-2611264
屏東縣,高樹鄉,嘉誠診所,屏東縣高樹鄉高樹村南興路118-1號,08-7962772
臺中市,大里區,廖正雄小兒科診所,臺中市大里區中興路一段167號,04-24938497
花蓮縣,花蓮市,廖耳鼻喉科診所,花蓮縣花蓮市中華路422之1號,03-8356196
新竹市,東區,廖明厚小兒科診所,新竹市東區民族路130號,03-5316665
彰化縣,線西鄉,彰化縣線西鄉衛生所,彰化縣線西鄉寓埔村中央路2段25號1樓,04-7585201
新竹縣,竹北市,歌斐木耳鼻喉科診所,新竹縣竹北市文興路二段7號1樓,03-6688081
新北市,新店區,睿安診所,新北市新店區中正路140號1樓,02-29109696
高雄市,左營區,福山診所,高雄市左營區重愛路218號,07-3482323
花蓮縣,吉安鄉,福田耳鼻喉科診所,花蓮縣吉安鄉建國路一段65號,03-8577823
新北市,汐止區,福德診所,新北市汐止區福德二路171號,02-26959877
彰化縣,福興鄉,福興林診所,彰化縣福興鄉沿海路3段204號1樓,04-7708896
臺中市,西區,維一診所,臺中市西區太原路一段220號,04-23139987
臺中市,東勢區,維恩耳鼻喉科診所,臺中市東勢區豐勢路372號,04-25885413
臺東縣,大武鄉,臺東縣大武鄉衛生所,臺東縣大武鄉大武村復興路2-2號,089-791325
臺東縣,太麻里鄉,臺東縣太麻里鄉衛生所,臺東縣太麻里鄉泰和村2鄰民權路66號,089-781220
臺東縣,成功鎮,臺東縣成功鎮衛生所,臺東縣成功鎮中山東路64號,089-851419
臺東縣,池上鄉,臺東縣池上鄉衛生所,臺東縣池上鄉中山路104號,089-862609
臺東縣,卑南鄉,臺東縣卑南鄉衛生所,臺東縣卑南鄉太平村和平路132號,089-382042
臺東縣,延平鄉,臺東縣延平鄉衛生所,臺東縣延平鄉桃源1鄰11號,089-561040
臺東縣,東河鄉,臺東縣東河鄉衛生所,臺東縣東河鄉東河村10鄰300號,089-896289
臺東縣,金峰鄉,臺東縣金峰鄉衛生所,臺東縣金峰鄉賓茂村14號,089-772201
臺東縣,長濱鄉,臺東縣長濱鄉衛生所,臺東縣長濱鄉長濱村7鄰中興路46號,089-831022
臺東縣,海端鄉,臺東縣海端鄉衛生所,臺東縣海端鄉海端村山界29號,089-931391
臺東縣,鹿野鄉,臺東縣鹿野鄉衛生所,臺東縣鹿野鄉中華路一段418號,089-551074
臺東縣,達仁鄉,臺東縣達仁鄉衛生所,臺東縣達仁鄉安朔村復興路122號,089-702209
臺東縣,綠島鄉,臺東縣綠島鄉衛生所,臺東縣綠島鄉中寮村1-1號,08-9672511
臺東縣,臺東市,臺東縣臺東市衛生所,臺東縣臺東市大同路51號,089-350806
臺東縣,關山鎮,臺東縣關山鎮衛生所,臺東縣關山鎮中華路78號,089-810460
臺東縣,蘭嶼鄉,臺東縣蘭嶼鄉衛生所,臺東縣蘭嶼鄉紅頭村36-1號,089-732002
臺南市,安定區,臺南市安定區衛生所,臺南市安定區安定59-1號,06-5922022
臺南市,善化區,臺南市善化區衛生所,臺南市善化區中山路200號,06-5837035
臺南市,仁德區,趙俊凱耳鼻喉科診所,臺南市仁德區中正路二段1092號,06-2491886
屏東縣,新園鄉,趙致成診所,屏東縣新園鄉仙吉路211號,08-8681236
新北市,三峽區,趙敏政耳鼻喉科診所,新北市三峽區復興路93、95號1樓,02-86743300
桃園市,龜山區,遠東耳鼻喉科診所,桃園市龜山區萬壽路2段997號,03-3502720
高雄市,仁武區,劉內兒科診所,高雄市仁武區仁心路6號,07-3718727
高雄市,鼓山區,劉水壽診所,高雄市鼓山區鼓山二路166-7號,07-5211891
臺南市,北區,劉伊薰小兒科診所,臺南市北區北安路一段259號,06-2832111
臺北市,大安區,劉耳鼻喉科診所,臺北市大安區復興南路二段151巷27號,02-27546060
花蓮縣,吉安鄉,劉耳鼻喉科診所,花蓮縣吉安鄉中華路二段138號,03-8544322
高雄市,前鎮區,劉志明耳鼻喉科診所,高雄市前鎮區一心一路482號,07-3363311
臺南市,佳里區,劉亞伯耳鼻喉科診所,臺南市佳里區延平路353號,06-7236765
宜蘭縣,羅東鎮,劉醫師小兒科診所,宜蘭縣羅東鎮純精路二段229號,03-9518121
新北市,中和區,廣祥診所,新北市中和區興南路2段27號1樓後半部及29號１、２樓,02-86683090
新北市,板橋區,德一診所,新北市板橋區中山路二段236號,02-29535396
新北市,永和區,德上診所,新北市永和區中正路106號,02-29403938
新北市,三重區,德心診所,新北市三重區力行路二段206號,02-82878007
臺南市,永康區,德安小兒科診所,臺南市永康區永大路二段1538號,06-2032000
臺中市,烏日區,德昌小兒科診所,臺中市烏日區中山路一段335號,04-23372686
新北市,三重區,德河聯合診所,新北市三重區重陽路三段117號,02-89851515
新北市,永和區,德美診所,新北市永和區中正路455之1號1樓,02-29273001
新北市,三重區,德慈聯合診所,新北市三重區重新路三段14號,02-29736693
新北市,蘆洲區,德興診所,新北市蘆洲區復興路67號,02-22855598
新北市,永和區,德謙耳鼻喉科診所,新北市永和區竹林路216號,02-29265690
雲林縣,北港鎮,德豐診所,雲林縣北港鎮公園路12號,05-7835909
彰化縣,福興鄉,慶安診所,彰化縣福興鄉沿海路三段275號1樓,04-7704276
南投縣,信義鄉,慶安診所,南投縣信義鄉新開巷100號,049-2791850
新北市,永和區,樂華診所,新北市永和區永和路一段155號1樓,02-86608030
新北市,板橋區,樂福診所,新北市板橋區三民路二段89號,02-29560606
臺北市,松山區,澄東耳鼻喉科診所,臺北市松山區三民路37號,02-27420552
高雄市,三民區,緯立診所,高雄市三民區建元路30號1樓,07-3850785
嘉義市,東區,蔡耳鼻喉科診所,嘉義市東區中山路270號,05-2222602
臺南市,永康區,蔡尚均小兒科診所,臺南市永康區中華路675之1號,06-3020188
屏東縣,屏東市,蔡長禧診所,屏東縣屏東市民生路12-16號,08-7227766
臺南市,歸仁區,蔡迪光小兒科,臺南市歸仁區民權北路107號,06-2397839
臺南市,柳營區,蔡瑞頒診所,臺南市柳營區光福里成功街210號,06-6224466
彰化縣,北斗鎮,蔡瑞聰耳鼻喉科診所,彰化縣北斗鎮中華路197號,04-8875577
新北市,泰山區,蔡興龍小兒科診所,新北市泰山區明志路二段422號,02-22093645
臺中市,南屯區,鄭元凱耳鼻喉科診所,台中市南屯區河南路四段376號,04-22513502
桃園市,中壢區,寰東耳鼻喉科診所,桃園市中壢區環中東路187號1樓,03-4559069
新北市,林口區,橙安親子診所,新北市林口區文化三路二段50號1樓,02-26032507
新竹縣,橫山鄉,橫山庄診所,新竹縣橫山鄉橫山街一段216號,03-5931395
新北市,中和區,盧建宏耳鼻喉科診所,新北市中和區宜安路151號,02-29493069
